Clicks;Calls;Sites;Position;DayOfWeek;HasSocialAccounts;nom1;nom2;nom3;nom4;nom5;nom6
31;5;10;8;1;1;1;0;0;0;0;0
31;4;19;10;3;1;0;0;1;0;0;0
31;3;8;2;5;0;0;0;0;0;1;0
31;3;8;8;5;1;0;0;0;0;1;0
31;3;7;3;1;1;1;0;0;0;0;0
30;8;11;44;4;1;0;0;0;1;0;0
30;2;5;7;6;0;0;0;0;0;0;1
30;6;17;19;1;0;1;0;0;0;0;0
30;3;11;6;5;1;0;0;0;0;1;0
30;6;6;2;1;0;1;0;0;0;0;0
29;3;4;6;2;1;0;1;0;0;0;0
29;9;16;9;2;1;0;1;0;0;0;0
29;4;12;6;4;0;0;0;0;1;0;0
29;3;24;8;5;1;0;0;0;0;1;0
29;4;11;5;4;1;0;0;0;1;0;0
29;4;14;8;3;1;0;0;1;0;0;0
29;7;8;2;1;1;1;0;0;0;0;0
29;5;11;5;1;0;1;0;0;0;0;0
29;9;14;4;6;1;0;0;0;0;0;1
29;2;8;10;4;1;0;0;0;1;0;0
29;8;2;28;5;1;0;0;0;0;1;0
28;8;7;13;1;1;1;0;0;0;0;0
28;7;14;140;2;1;0;1;0;0;0;0
28;2;8;7;5;1;0;0;0;0;1;0
28;3;9;4;7;1;0;0;0;0;0;0
28;4;6;17;2;1;0;1;0;0;0;0
28;3;16;12;2;1;0;1;0;0;0;0
27;3;5;4;7;1;0;0;0;0;0;0
27;8;11;23;2;1;0;1;0;0;0;0
27;3;4;2;3;1;0;0;1;0;0;0
27;5;12;2;2;0;0;1;0;0;0;0
27;5;12;4;4;1;0;0;0;1;0;0
26;3;8;2;2;1;0;1;0;0;0;0
26;3;10;3;2;1;0;1;0;0;0;0
26;2;8;5;5;1;0;0;0;0;1;0
26;5;6;6;6;1;0;0;0;0;0;1
26;5;8;89;3;1;0;0;1;0;0;0
26;5;8;136;4;1;0;0;0;1;0;0
26;4;9;2;3;1;0;0;1;0;0;0
26;3;9;12;3;0;0;0;1;0;0;0
26;4;8;8;4;1;0;0;0;1;0;0
26;3;12;32;6;1;0;0;0;0;0;1
25;5;3;5;1;1;1;0;0;0;0;0
25;5;9;9;3;1;0;0;1;0;0;0
25;7;9;13;4;1;0;0;0;1;0;0
25;4;19;5;2;1;0;1;0;0;0;0
25;1;5;1;7;1;0;0;0;0;0;0
25;3;7;4;5;1;0;0;0;0;1;0
25;2;12;9;2;1;0;1;0;0;0;0
25;5;17;11;2;1;0;1;0;0;0;0
25;5;4;19;2;0;0;1;0;0;0;0
25;2;6;15;5;0;0;0;0;0;1;0
25;6;5;2;3;1;0;0;1;0;0;0
25;1;1;1;1;0;1;0;0;0;0;0
25;3;9;7;1;1;1;0;0;0;0;0
24;3;10;23;3;1;0;0;1;0;0;0
24;4;13;13;6;1;0;0;0;0;0;1
24;2;6;9;1;1;1;0;0;0;0;0
24;2;4;10;7;1;0;0;0;0;0;0
24;5;5;4;2;1;0;1;0;0;0;0
24;4;8;9;2;1;0;1;0;0;0;0
24;5;5;6;4;1;0;0;0;1;0;0
24;4;9;7;2;1;0;1;0;0;0;0
24;4;4;7;5;1;0;0;0;0;1;0
24;2;6;6;2;0;0;1;0;0;0;0
24;3;9;8;4;1;0;0;0;1;0;0
24;5;10;22;4;0;0;0;0;1;0;0
23;4;5;8;4;0;0;0;0;1;0;0
23;6;5;19;4;1;0;0;0;1;0;0
23;3;5;76;3;1;0;0;1;0;0;0
23;7;3;2;3;1;0;0;1;0;0;0
23;1;2;1;1;1;1;0;0;0;0;0
23;2;13;9;3;1;0;0;1;0;0;0
23;1;8;9;2;0;0;1;0;0;0;0
23;6;11;71;3;0;0;0;1;0;0;0
23;2;9;9;5;1;0;0;0;0;1;0
23;3;3;1;5;1;0;0;0;0;1;0
23;4;10;3;3;1;0;0;1;0;0;0
23;3;5;11;3;0;0;0;1;0;0;0
23;6;6;19;2;0;0;1;0;0;0;0
23;4;4;2;5;1;0;0;0;0;1;0
23;3;17;6;3;1;0;0;1;0;0;0
23;3;7;9;6;1;0;0;0;0;0;1
23;3;6;2;2;1;0;1;0;0;0;0
23;4;12;47;1;0;1;0;0;0;0;0
22;4;13;19;6;1;0;0;0;0;0;1
22;5;5;12;1;1;1;0;0;0;0;0
22;5;13;17;4;1;0;0;0;1;0;0
22;4;6;9;3;0;0;0;1;0;0;0
22;2;12;11;4;1;0;0;0;1;0;0
22;3;3;9;4;1;0;0;0;1;0;0
22;3;3;7;2;1;0;1;0;0;0;0
22;6;17;7;5;1;0;0;0;0;1;0
22;4;8;20;2;1;0;1;0;0;0;0
21;2;2;1;2;1;0;1;0;0;0;0
21;4;4;30;1;1;1;0;0;0;0;0
21;3;15;12;7;1;0;0;0;0;0;0
21;3;10;5;5;1;0;0;0;0;1;0
21;5;5;10;1;1;1;0;0;0;0;0
21;3;11;7;5;1;0;0;0;0;1;0
21;2;8;11;2;1;0;1;0;0;0;0
21;2;6;18;6;1;0;0;0;0;0;1
20;5;2;2;6;0;0;0;0;0;0;1
20;2;8;16;2;1;0;1;0;0;0;0
20;5;11;52;4;1;0;0;0;1;0;0
20;2;4;2;6;0;0;0;0;0;0;1
20;3;2;1;4;0;0;0;0;1;0;0
20;3;6;18;5;1;0;0;0;0;1;0
20;2;8;3;5;1;0;0;0;0;1;0
20;5;11;6;2;1;0;1;0;0;0;0
20;3;6;28;1;1;1;0;0;0;0;0
20;3;5;14;3;1;0;0;1;0;0;0
20;3;7;13;7;1;0;0;0;0;0;0
20;4;3;3;5;1;0;0;0;0;1;0
20;4;6;7;2;1;0;1;0;0;0;0
20;4;7;6;1;1;1;0;0;0;0;0
20;2;2;12;5;1;0;0;0;0;1;0
20;2;6;12;2;1;0;1;0;0;0;0
19;3;8;1;6;1;0;0;0;0;0;1
19;5;5;4;3;1;0;0;1;0;0;0
19;3;7;2;5;1;0;0;0;0;1;0
19;2;5;25;5;1;0;0;0;0;1;0
19;2;7;6;6;1;0;0;0;0;0;1
19;3;8;13;1;1;1;0;0;0;0;0
19;5;6;2;4;1;0;0;0;1;0;0
19;2;4;8;3;1;0;0;1;0;0;0
19;2;12;38;5;1;0;0;0;0;1;0
19;4;8;13;4;1;0;0;0;1;0;0
19;2;3;7;4;1;0;0;0;1;0;0
19;3;6;1;5;1;0;0;0;0;1;0
19;3;3;4;2;1;0;1;0;0;0;0
19;4;6;46;2;1;0;1;0;0;0;0
19;3;5;2;3;1;0;0;1;0;0;0
19;3;10;9;1;1;1;0;0;0;0;0
18;6;2;6;3;0;0;0;1;0;0;0
18;5;3;2;6;0;0;0;0;0;0;1
18;3;4;19;4;1;0;0;0;1;0;0
18;3;5;30;7;1;0;0;0;0;0;0
18;3;7;1;4;1;0;0;0;1;0;0
18;3;7;94;3;1;0;0;1;0;0;0
18;2;3;12;3;1;0;0;1;0;0;0
18;1;6;6;2;1;0;1;0;0;0;0
18;5;5;41;4;0;0;0;0;1;0;0
18;4;4;4;2;0;0;1;0;0;0;0
18;3;3;27;4;1;0;0;0;1;0;0
18;5;5;12;1;1;1;0;0;0;0;0
18;2;7;8;3;0;0;0;1;0;0;0
17;7;6;145;4;1;0;0;0;1;0;0
17;1;1;1;5;1;0;0;0;0;1;0
17;4;7;27;4;0;0;0;0;1;0;0
17;4;2;5;3;1;0;0;1;0;0;0
17;4;4;5;4;0;0;0;0;1;0;0
17;2;2;24;6;0;0;0;0;0;0;1
17;3;5;5;2;1;0;1;0;0;0;0
17;2;5;7;5;1;0;0;0;0;1;0
17;3;4;5;2;1;0;1;0;0;0;0
